"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","6855","🧪 Flujo completo: login, análisis y generación de datos","","Fri Jul 04 02:00:47 UTC 2025","failed","Fri Jul 04 02:00:54 UTC 2025","","integration\login-generar-datos.spec.js","",""
"","604","Prueba de login con credenciales incorrectas","main-tests","Sat Jul 05 15:23:42 UTC 2025","passed","Sat Jul 05 15:23:42 UTC 2025","","tests/loginerror.spec.js","",""
"","803","Prueba de registro de nuevo usuario","main-tests","Sat Jul 05 15:23:42 UTC 2025","passed","Sat Jul 05 15:23:43 UTC 2025","","tests/registro.spec.js","",""
"","2457","🔐 Flujo completo: acceso al dashboard solo para usuarios autenticados","main-tests","Sat Jul 05 15:23:38 UTC 2025","passed","Sat Jul 05 15:23:40 UTC 2025","","tests/data.spec.js","",""
"","7902","🧪 Flujo completo: login, script, rellenado y visualización de datos generados","main-tests","Sat Jul 05 15:23:38 UTC 2025","passed","Sat Jul 05 15:23:45 UTC 2025","","tests/generardata.spec.js","",""
"","92271","🧪 Flujo completo: login, análisis y generación de datos","datafiller-tests","Sat Jul 05 15:25:18 UTC 2025","broken","Sat Jul 05 15:26:50 UTC 2025","","DATAFILLER/tests/integration/login-generar-datos.spec.js","",""
"","1637","Prueba de login en el sistema - caso exitoso","main-tests","Sat Jul 05 15:23:40 UTC 2025","passed","Sat Jul 05 15:23:42 UTC 2025","","tests/login.spec.js","",""
