"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1865","Prueba de login en el sistema - caso exitoso","main-tests","Sat Jul 05 16:04:33 UTC 2025","passed","Sat Jul 05 16:04:34 UTC 2025","","tests/login.spec.js","",""
"","914","Prueba de login con credenciales incorrectas","main-tests","Sat Jul 05 16:04:34 UTC 2025","passed","Sat Jul 05 16:04:35 UTC 2025","","tests/loginerror.spec.js","",""
"","92256","🧪 Flujo completo: login, análisis y generación de datos","datafiller-tests","Sat Jul 05 16:06:11 UTC 2025","broken","Sat Jul 05 16:07:43 UTC 2025","","DATAFILLER/tests/integration/login-generar-datos.spec.js","",""
"","6855","🧪 Flujo completo: login, análisis y generación de datos","","Fri Jul 04 02:00:47 UTC 2025","failed","Fri Jul 04 02:00:54 UTC 2025","","integration\login-generar-datos.spec.js","",""
"","9603","🧪 Flujo completo: login, script, rellenado y visualización de datos generados","main-tests","Sat Jul 05 16:04:29 UTC 2025","passed","Sat Jul 05 16:04:38 UTC 2025","","tests/generardata.spec.js","",""
"","1009","Prueba de registro de nuevo usuario","main-tests","Sat Jul 05 16:04:35 UTC 2025","passed","Sat Jul 05 16:04:36 UTC 2025","","tests/registro.spec.js","",""
"","3808","🔐 Flujo completo: acceso al dashboard solo para usuarios autenticados","main-tests","Sat Jul 05 16:04:29 UTC 2025","passed","Sat Jul 05 16:04:33 UTC 2025","","tests/data.spec.js","",""
